",customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate"
"47185,rio bonito,RJ,2017-09-16 18:32:53,2017-09-16 19:04:06,2017-09-18 22:33:46,2017-09-21 14:42:54,2017-10-05,5,,,2017-09-22 00:00:00,2017-09-23 17:38:53,2017-09-21 19:04:06,99.99,12.7,33.0,739.0,3.0,500.0,1,boleto,1,112.69,rio de janeiro,RJ,toys,Entertainment,8000.0,19,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"103615,porto alegre,RS,2018-07-26 08:51:12,2018-07-27 02:11:03,2018-07-27 14:50:00,2018-08-13 19:02:36,2018-08-16,1,,Faltou um dos itens,2018-08-14 00:00:00,2018-08-15 00:32:53,2018-07-31 02:10:33,27.9,18.3,59.0,982.0,1.0,150.0,1,boleto,1,92.4,atibaia,SP,food,Food & Drinks,2873.0,21,18,17,OnTime/Early,OnTime/Early,Neutral,Neutral,Neutral"
"9214,sao paulo,SP,2018-05-28 11:40:49,2018-05-29 14:11:34,2018-06-04 10:18:00,2018-06-05 21:11:40,2018-06-20,5,,,2018-06-06 00:00:00,2018-06-07 19:27:24,2018-06-06 14:11:34,249.0,12.37,63.0,199.0,2.0,1450.0,1,boleto,1,522.74,sao paulo,SP,furniture_decor,Furniture,12600.0,23,8,1,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"91761,santiago,RS,2018-04-21 14:36:39,2018-04-24 18:04:42,2018-04-23 18:03:44,2018-05-03 19:36:32,2018-05-24,5,,,2018-05-04 00:00:00,2018-05-07 12:18:07,2018-04-26 15:30:43,15.0,18.23,41.0,248.0,3.0,50.0,1,credit_card,1,33.23,mogi das cruzes,SP,market_place,Home & Garden,2592.0,33,12,10,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"108232,curitiba,PR,2017-09-16 20:27:30,2017-09-19 03:38:19,2017-09-20 21:02:39,2017-09-29 20:57:37,2017-10-06,4,,""e lindo ,mas bemmmmm fininho"",2017-09-30 00:00:00,2017-10-01 13:49:32,2017-09-25 03:35:09,329.9,19.59,27.0,206.0,4.0,150.0,1,boleto,1,349.49,gama,DF,fashion_bags_accessories,Fashion,1782.0,20,13,9,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"42944,sao paulo,SP,2017-06-15 14:26:01,2017-06-15 14:45:15,2017-06-20 14:22:03,2017-06-26 11:23:32,2017-07-10,5,,,2017-06-27 00:00:00,2017-06-27 19:29:13,2017-06-22 14:45:15,36.99,11.85,56.0,105.0,1.0,550.0,1,credit_card,2,206.36,ibitinga,SP,bed_bath_table,Furniture,3000.0,25,11,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"100604,nova friburgo,RJ,2017-10-29 18:49:47,2017-10-29 18:55:14,2017-10-31 17:27:33,2017-11-03 21:58:46,2017-11-22,5,,""Facilidade para uso do app, facilidade de pagamento, produto chegou antes do prazo."",2017-11-04 00:00:00,2017-11-05 00:51:42,2017-11-03 18:55:14,120.0,21.33,59.0,747.0,2.0,1250.0,1,credit_card,4,141.33,belo horizonte,MG,pet_shop,Home & Garden,24000.0,24,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"22855,sao paulo,SP,2017-05-18 21:54:35,2017-05-18 23:42:38,2017-05-19 13:55:45,2017-05-22 09:41:54,2017-05-31,5,,,2017-05-23 00:00:00,2017-05-24 10:49:42,2017-05-24 23:42:38,55.0,7.78,58.0,617.0,2.0,250.0,1,credit_card,1,62.78,santo andre,SP,sports_leisure,Entertainment,528.0,13,4,3,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"47108,santarem,PA,2017-11-29 11:20:20,2017-11-29 11:37:51,2017-12-01 16:27:46,2018-01-24 01:27:36,2018-01-03,2,,""Até o momento não recebi o produto comprado."
"Espero que a Americana resolva o mas breve possível."",2018-01-05 00:00:00,2018-01-05 02:46:25,2017-12-05 11:37:51,299.99,54.46,46.0,753.0,2.0,1582.0,1,credit_card,1,354.45,rio de janeiro,RJ,toys,Entertainment,33635.0,35,56,54,OnTime/Early,Late,Slow,Very Slow,Very Slow"
"12576,sao carlos,SP,2018-01-15 23:25:47,2018-01-15 23:35:28,2018-01-23 23:17:35,2018-01-30 18:22:40,2018-02-16,4,,,2018-01-31 00:00:00,2018-02-02 23:54:06,2018-01-21 23:35:28,29.9,16.11,45.0,1273.0,1.0,633.0,1,credit_card,1,46.01,farroupilha,RS,auto,Electronics,4160.0,32,15,7,Late,OnTime/Early,Slow,Fast,Very Fast"
"6195,araxa,MG,2017-11-25 16:07:34,2017-11-25 16:16:40,2017-11-29 20:33:34,2017-12-11 23:49:04,2017-12-20,5,,,2017-12-12 00:00:00,2017-12-15 09:14:42,2017-11-30 16:16:40,37.5,17.6,57.0,954.0,7.0,1250.0,1,credit_card,3,36.73,presidente prudente,SP,furniture_decor,Furniture,8640.0,25,16,12,OnTime/Early,OnTime/Early,Slow,Neutral,Fast"
"49801,sao paulo,SP,2017-08-18 22:01:21,2017-08-18 22:25:19,2017-08-22 20:28:02,2017-08-23 15:18:31,2017-08-31,1,,""Recebi o skate com duas avarias."
"O kit de segurança é de má qualidade e todo desbotado, além de o skate ser com personagem para meninos e o kit de segurança ser rosa....."
"Estou muito descontente. "",2017-08-24 00:00:00,2017-08-26 02:28:14,2017-08-23 22:25:19,79.9,11.76,59.0,249.0,2.0,1500.0,1,credit_card,1,91.66,sao paulo,SP,toys,Entertainment,20000.0,13,5,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"84630,itapolis,SP,2018-06-27 09:37:58,2018-06-29 02:53:18,2018-06-29 11:12:00,2018-07-03 16:21:39,2018-07-18,5,,,2018-07-04 00:00:00,2018-07-06 19:58:20,2018-07-03 02:53:18,49.9,20.99,56.0,348.0,2.0,1550.0,1,boleto,1,425.34,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,21,6,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"67976,mage,RJ,2018-07-09 18:43:40,2018-07-10 18:45:36,2018-07-23 15:59:00,2018-07-26 17:42:04,2018-08-07,2,Regular,O produto que recebi ñ foi igual ao anunciado. Já mandei email e já fiz reclamação no site. Estou aguardando resposta!,2018-07-27 00:00:00,2018-07-27 21:16:45,2018-07-20 18:45:36,173.9,16.32,43.0,548.0,3.0,381.0,1,credit_card,6,190.22,campinas,SP,watches_gifts,Electronics,3240.0,29,17,3,Late,OnTime/Early,Slow,Neutral,Very Fast"
"107356,cafelandia,SP,2018-06-13 16:55:35,2018-06-13 17:20:23,2018-06-14 10:46:00,2018-06-18 19:18:50,2018-07-03,5,linda mochila,""E a segunda mochila que eu compro, somente de cor diferente, é linda e moderna."",2018-06-19 00:00:00,2018-06-23 14:18:32,2018-06-15 17:20:23,108.9,14.34,58.0,668.0,3.0,650.0,1,credit_card,3,123.24,sao paulo,SP,fashion_bags_accessories,Fashion,18576.0,20,5,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"86031,divinopolis,MG,2018-07-02 12:52:55,2018-07-02 13:10:12,2018-07-03 12:12:00,2018-07-06 13:33:10,2018-07-20,5,Muito bom,""Chegou bem antes, ainda não testei"",2018-07-07 00:00:00,2018-07-09 17:47:51,2018-07-04 13:10:12,139.0,29.5,33.0,2188.0,2.0,7650.0,1,credit_card,5,505.5,ilicinea,MG,garden_tools,Furniture,8000.0,18,4,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"39818,criciuma,SC,2017-08-08 21:11:59,2017-08-08 21:30:14,2017-08-09 15:47:14,2017-08-17 19:42:34,2017-09-01,4,,,2017-08-18 00:00:00,2017-09-03 12:59:22,2017-08-14 21:30:14,15.9,16.79,41.0,187.0,2.0,200.0,1,credit_card,1,32.69,rio de janeiro,RJ,bed_bath_table,Furniture,1920.0,24,9,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"100639,lencois paulista,SP,2017-08-28 10:29:48,2017-08-28 10:45:12,2017-08-29 18:42:08,2017-09-06 23:04:18,2017-09-15,4,,""Estou usando o produto há uma semana e por hora estou gostando bastante. Veio antes do prazo, satisfez as necessidades do que precisava para o pet, um golden."",2017-09-07 00:00:00,2017-09-09 13:47:05,2017-09-01 10:45:12,60.0,16.18,57.0,558.0,1.0,850.0,1,credit_card,1,76.18,belo horizonte,MG,pet_shop,Home & Garden,18000.0,18,9,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"57033,chapeco,SC,2017-09-13 23:19:22,2017-09-15 02:10:46,2017-09-25 19:38:39,2017-10-16 16:35:32,2017-10-05,1,,,2017-10-11 00:00:00,2017-10-11 03:50:47,2017-09-25 02:10:46,39.9,16.79,42.0,885.0,1.0,200.0,1,boleto,1,56.69,belo horizonte,MG,computers_accessories,Electronics,2240.0,22,33,21,OnTime/Early,Late,Neutral,Slow,Neutral"
"18560,cuiaba,MT,2018-02-21 16:04:31,2018-02-22 02:10:41,2018-02-22 19:13:24,2018-03-08 16:29:44,2018-03-21,5,,,2018-03-09 00:00:00,2018-03-11 22:53:59,2018-02-28 02:10:41,59.8,25.7,49.0,1244.0,1.0,350.0,1,boleto,1,85.5,maringa,PR,sports_leisure,Entertainment,3240.0,28,15,14,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"22740,curitiba,PR,2018-04-28 22:02:50,2018-04-28 22:15:14,2018-04-30 13:41:00,2018-05-03 19:58:28,2018-05-15,5,,,2018-05-04 00:00:00,2018-05-05 01:15:03,2018-05-03 22:15:14,299.0,15.21,31.0,1479.0,3.0,150.0,1,credit_card,3,314.21,maringa,PR,sports_leisure,Entertainment,1932.0,17,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"109674,diogo de vasconcelos,MG,2017-07-11 18:39:09,2017-07-11 18:50:11,2017-07-24 14:10:14,2017-08-01 18:52:32,2017-08-11,5,,,2017-08-02 00:00:00,2017-08-03 09:07:53,2017-07-26 18:50:11,71.82,17.75,54.0,404.0,4.0,850.0,1,credit_card,2,89.57,penapolis,SP,fashion_shoes,Fashion,8712.0,31,21,8,OnTime/Early,OnTime/Early,Slow,Neutral,Fast"
"51754,espirito santo do pinhal,SP,2017-11-14 17:13:48,2017-11-14 17:27:46,2017-11-21 18:56:52,2017-11-25 19:52:51,2017-12-04,4,,""A foto sugere que o brinquedo é maior, com mais peças mas na verdade vem somente uma"",2017-11-26 00:00:00,2017-11-28 23:04:43,2017-11-21 17:27:46,59.9,11.92,38.0,319.0,2.0,400.0,1,credit_card,3,71.82,sao paulo,SP,cool_stuff,Fashion,12000.0,20,11,4,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"15630,goiania,GO,2018-03-12 17:24:54,2018-03-12 17:35:55,2018-03-15 17:18:38,2018-03-26 14:33:19,2018-04-02,5,,,2018-03-27 00:00:00,2018-03-27 20:45:33,2018-03-16 17:35:55,169.0,19.06,60.0,1423.0,2.0,6400.0,1,credit_card,10,376.12,jau,SP,sports_leisure,Entertainment,8000.0,21,14,11,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"111856,curitiba,PR,2017-01-05 15:25:04,2017-01-07 03:35:36,2017-01-11 15:59:08,2017-01-17 16:09:40,2017-02-13,5,,,2017-01-18 00:00:00,2017-01-18 11:56:08,2017-01-09 15:25:04,6.9,8.72,61.0,1961.0,1.0,200.0,1,boleto,1,15.62,curitiba,PR,furniture_bedroom,Furniture,352.0,39,12,6,Late,OnTime/Early,Slow,Fast,Very Fast"
"92856,caxias do sul,RS,2017-09-11 14:00:09,2017-09-11 14:23:36,2017-09-14 18:59:30,2017-10-05 17:28:44,2017-10-05,5,,tudo ok.,2017-10-06 00:00:00,2017-10-06 15:03:45,2017-09-15 14:23:36,24.99,15.1,55.0,518.0,1.0,150.0,1,debit_card,1,40.09,sao paulo,SP,telephony,Electronics,792.0,24,24,21,OnTime/Early,OnTime/Early,Neutral,Neutral,Neutral"
"95791,salgado filho,PR,2017-11-01 14:50:43,2017-11-01 15:08:25,2017-11-03 16:17:25,2017-11-14 18:29:05,2017-12-01,5,,,2017-11-15 00:00:00,2017-11-16 10:48:51,2017-11-08 15:08:25,78.0,15.3,51.0,2079.0,1.0,133.0,1,credit_card,1,93.3,sao ludgero,SC,telephony,Electronics,1235.0,30,13,11,OnTime/Early,OnTime/Early,Slow,Fast,Fast"
"54710,macatuba,SP,2017-08-02 20:55:20,2017-08-04 02:25:21,2017-08-08 21:07:50,2017-08-14 18:41:37,2017-08-28,4,,Recebi o produto dentro do prazo e dentro do combinado. Aprovado!. Com certeza indico.,2017-08-15 00:00:00,2017-08-17 01:17:47,2017-08-10 02:25:21,19.9,16.79,57.0,1370.0,1.0,200.0,1,boleto,1,36.69,porto alegre,RS,computers_accessories,Electronics,4500.0,26,12,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"15160,campinas,SP,2018-02-25 20:30:05,2018-02-27 04:31:05,2018-02-28 19:21:37,2018-03-09 18:22:57,2018-03-12,5,,,2018-03-10 00:00:00,2018-03-20 22:32:25,2018-03-05 04:02:53,29.0,9.27,49.0,2009.0,4.0,233.0,1,boleto,1,38.27,praia grande,SP,sports_leisure,Entertainment,4928.0,15,12,9,OnTime/Early,OnTime/Early,Fast,Fast,Fast"
"49361,manaus,AM,2017-09-26 12:25:18,2017-09-26 13:49:26,2017-09-27 18:33:37,2017-10-19 21:22:32,2017-11-13,5,,,2017-10-20 00:00:00,2017-10-21 05:03:52,2017-10-02 13:49:26,79.9,25.11,55.0,1107.0,1.0,1600.0,1,credit_card,1,105.01,sao paulo,SP,toys,Entertainment,21000.0,48,23,22,OnTime/Early,OnTime/Early,Very Slow,Neutral,Neutral"
"46470,salto,SP,2017-09-30 18:38:26,2017-09-30 18:57:51,2017-10-03 16:40:21,2017-10-04 22:29:40,2017-10-18,5,,Produto entregue no prazo!,2017-10-05 00:00:00,2017-10-08 12:01:46,2017-10-05 18:57:51,34.9,7.78,27.0,531.0,4.0,150.0,1,credit_card,1,1.83,sao paulo,SP,toys,Entertainment,2240.0,18,4,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"988,sao paulo,SP,2017-11-03 23:42:39,2017-11-03 23:55:49,2017-11-10 16:08:37,2017-11-16 22:39:36,2017-11-23,1,,""Comprei quatro cadeiras, estou pagando e recebi só uma cadeira."
"Aguardo o envio urgente da outras três cadeiras, ou vou cancelar o pagamento."
Detalhe: foi enviada nota de quatro cadeiras.
"Aguardo."",2017-11-17 00:00:00,2017-11-19 18:52:04,2017-11-15 23:55:49,79.99,21.21,44.0,1350.0,1.0,8000.0,1,credit_card,8,404.8,itaquaquecetuba,SP,office_furniture,Furniture,70596.0,20,13,6,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"48415,novo hamburgo,RS,2018-03-15 20:58:52,2018-03-15 21:10:35,2018-03-22 11:04:25,2018-04-13 17:54:37,2018-04-10,1,,Um absurdo esse atraso,2018-04-12 00:00:00,2018-04-13 12:32:05,2018-03-21 21:10:35,45.99,15.23,25.0,254.0,1.0,200.0,1,credit_card,6,61.22,santana de parnaiba,SP,toys,Entertainment,1760.0,26,29,22,Late,Late,Slow,Slow,Neutral"
"51590,sorocaba,SP,2017-10-09 14:05:46,2017-10-09 14:26:53,2017-10-11 15:52:25,2017-10-13 15:58:05,2017-10-20,1,,""so veio um produto, pedi tres."",2017-10-14 00:00:00,2017-10-16 14:25:57,2017-10-16 15:26:53,11.99,7.78,49.0,730.0,1.0,300.0,1,credit_card,2,59.31,sao paulo,SP,cool_stuff,Fashion,5000.0,11,4,2,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"874,rio de janeiro,RJ,2017-07-17 22:51:34,2017-07-18 00:30:15,2017-07-26 17:59:36,2017-07-31 18:09:45,2017-08-14,1,,""Produto entregue faltando peça. Já entrei em contato, foram dois e-mails através dos e-mails as lannister. Estou aguardando uma solução. Até agora nada. "",2017-08-01 00:00:00,2017-08-04 12:56:28,2017-07-28 00:30:15,119.94,28.2,54.0,1094.0,1.0,7513.0,1,credit_card,5,148.14,itaquaquecetuba,SP,office_furniture,Furniture,85436.0,28,14,5,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast"
"26225,aguas da prata,SP,2018-05-20 11:48:50,2018-05-22 08:34:06,2018-05-22 13:31:00,2018-05-24 19:27:33,2018-06-05,5,,,2018-05-25 00:00:00,2018-05-26 01:30:45,2018-05-24 08:30:49,157.89,15.2,46.0,449.0,2.0,1050.0,1,boleto,1,173.09,sao roque,SP,baby,Fashion,28000.0,16,4,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"8178,sao paulo,SP,2017-09-07 17:11:19,2017-09-09 08:43:14,2017-09-11 21:44:53,2017-09-18 17:27:29,2017-09-20,5,,,2017-09-19 00:00:00,2017-09-20 01:39:20,2017-09-14 08:43:14,89.9,9.44,56.0,701.0,5.0,750.0,1,credit_card,9,99.34,sao paulo,SP,furniture_decor,Furniture,9900.0,13,11,7,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast"
"86612,esmeraldas,MG,2018-07-24 19:26:30,2018-07-25 02:50:16,2018-07-26 16:03:00,2018-08-03 15:02:13,2018-08-15,5,,Tô comprando mais.,2018-08-04 00:00:00,2018-08-04 23:11:57,2018-08-01 02:50:16,97.5,23.48,45.0,616.0,3.0,1400.0,1,boleto,1,120.98,riberao preto,SP,garden_tools,Furniture,12000.0,22,10,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast"
"44290,niteroi,RJ,2017-07-03 15:10:37,2017-07-03 15:24:26,2017-07-06 13:06:51,2017-07-12 20:32:29,2017-07-25,5,,,2017-07-13 00:00:00,2017-07-16 15:19:54,2017-07-07 15:23:56,58.99,18.21,57.0,452.0,3.0,3200.0,1,credit_card,3,154.4,santa barbara d´oeste,SP,bed_bath_table,Furniture,14800.0,22,9,6,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"41799,sao paulo,SP,2017-11-29 20:47:39,2017-11-29 21:17:12,2017-12-04 21:12:39,2017-12-11 16:16:58,2017-12-21,4,,,2017-12-12 00:00:00,2017-12-16 10:13:14,2017-12-05 21:17:12,24.5,16.11,57.0,184.0,1.0,650.0,1,credit_card,2,40.61,tres coracoes,MG,bed_bath_table,Furniture,6000.0,22,12,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"77511,rio de janeiro,RJ,2018-08-11 15:41:42,2018-08-11 15:55:15,2018-08-15 10:17:00,2018-08-22 17:18:51,2018-08-28,5,,o produto foi entregue no prazo e bem acondicionado,2018-08-23 00:00:00,2018-08-24 13:42:42,2018-08-17 15:55:15,639.0,21.4,59.0,2141.0,1.0,475.0,1,credit_card,10,660.4,campo bom,RS,health_beauty,Beauty & Health,13608.0,17,11,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast"
"28476,belo horizonte,MG,2018-07-17 13:18:44,2018-07-17 13:30:20,2018-07-19 10:06:00,2018-07-23 23:36:37,2018-08-07,2,Recomendaria mas com resa,,2018-07-24 00:00:00,2018-07-27 09:58:00,2018-07-23 13:30:20,25.0,19.37,37.0,71.0,1.0,750.0,1,credit_card,2,44.37,ipaussu,SP,housewares,Home & Garden,9177.0,21,6,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"6190,juiz de fora,MG,2017-09-11 15:01:29,2017-09-11 15:15:24,2017-09-12 16:43:50,2017-09-15 20:32:23,2017-10-02,5,,,2017-09-16 00:00:00,2017-09-18 17:26:20,2017-09-15 15:15:24,37.5,17.6,57.0,954.0,7.0,1250.0,1,credit_card,5,55.1,presidente prudente,SP,furniture_decor,Furniture,8640.0,21,4,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"50501,santo andre,SP,2017-06-06 22:05:30,2017-06-06 22:15:13,2017-06-07 15:28:02,2017-06-08 17:22:30,2017-06-20,3,,,2017-06-09 00:00:00,2017-06-10 12:39:50,2017-06-12 22:15:13,99.99,9.51,54.0,1012.0,1.0,1200.0,1,credit_card,2,109.5,sao paulo,SP,cool_stuff,Fashion,15750.0,14,2,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"63633,diadema,SP,2017-11-14 21:54:25,2017-11-14 22:15:59,2017-11-17 21:19:06,2017-11-18 14:09:38,2017-11-28,4,,Entregue dentro do prazo e bom preço.,2017-11-19 00:00:00,2017-11-20 14:08:50,2017-11-20 22:15:29,315.0,10.95,59.0,1914.0,5.0,300.0,1,credit_card,4,325.95,atibaia,SP,consoles_games,Electronics,4096.0,14,4,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast"
"86720,barra do garcas,MT,2017-11-03 09:55:35,2017-11-03 10:10:37,2017-11-10 14:03:09,2017-11-23 19:08:47,2017-12-06,3,,,2017-11-24 00:00:00,2017-11-26 23:03:58,2017-11-13 10:10:37,155.99,4.4,54.0,2155.0,1.0,509.0,1,credit_card,4,962.31,uba,MG,garden_tools,Furniture,2873.0,33,20,13,OnTime/Early,OnTime/Early,Slow,Neutral,Fast"
"60104,lauro muller,SC,2018-08-23 15:11:59,2018-08-23 15:35:24,2018-08-23 20:38:00,2018-08-30 14:34:39,2018-09-14,5,,,2018-08-31 00:00:00,2018-09-01 21:51:12,2018-08-27 15:35:24,63.9,22.38,56.0,257.0,1.0,325.0,1,credit_card,1,86.28,belo horizonte,MG,computers_accessories,Electronics,7360.0,22,7,7,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
"95436,marilia,SP,2018-01-12 13:55:32,2018-01-12 14:09:02,2018-01-15 18:05:58,2018-01-18 21:04:21,2018-02-02,5,,SUPER RECOMENDO!,2018-01-19 00:00:00,2018-01-20 10:54:01,2018-01-18 14:09:02,39.9,11.85,53.0,320.0,1.0,117.0,1,credit_card,2,51.75,sao jose dos campos,SP,telephony,Electronics,1064.0,21,6,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast"
